,title,link,body,author,university
115,"Politics, Physiology, and Cognition: Advances in Theory and Method ( 2018/19 )",https://cognit.ca/en/research/project/184137,"Western democracies are experiencing significant challenges: the rise of nativist and populist political parties; intense debates around immigration and the accommodation of diversity; and a complex news environment that itself has become a source of public discussion and politicisation. To understand these phenomena, political scientists have increasingly been drawing on a broader, interdisciplinary literature on cognition, psychology and physiology. A growing body of literature demonstrates a connection between physiological processes such as genetics, neurophysiology, cognition and political attitudes. This research suggests that individual ideological development depends on a complex interaction between social and biological factors. Yet, the results emerging from this budding field have yet to be fully integrated into our understanding of public opinion: how and why do individuals develop different political attitudes. This workshop assembles a cross disciplinary, international group of leading experts from communications, economics, philosophy, political science, neuroscience, and sociology to address pressing questions on the relationship between human cognition, physiology, and the development of political attitudes. For example, what is the relationship between ideological positions and physiological processes such as arousal? What are the physiological processes associated with prejudicial attitudes and how do these impact policy attitudes? How do differences in political attitudes effect reception with media and political messages? How does the connection with physiological processes affect how researchers should approach the study of politics? The focus of the workshop is on four critical areas in the application of cognitive and physiological approaches: 1) ideological differences; 2) social prejudices; 3) political communication; and 4) theory and practice. By assembling a panel of experts to address questions in these areas, this event will facilitate the development of new research methods for the study of political behaviour. This workshop also aims to provide young scholars, especially in political science, with training in the use of cognitive and physiological methods. We have arranged for a group of experts to conduct a series of hands on methodology demonstrations, focusing on new technologies applicable to political science including the measurement of: implicit cognitive processing; skin conductance, and emotional facial expressions. We have also partnered with the Association of Politics and Life Sciences to offer a call to research in which young scholars can apply for one of seven research grants worth $1500 USD. Aimed at providing research training these grants require students to collaborate with senior scholars to construct well-developed research designs and theoretically-grounded hypotheses, that will provide an important opportunity to develop research skills and publish. Promoting training in pathbreaking methods as well as experience in research designs are fundamentals in scholarly careers. Consequently this workshop makes an impactful contribution to the development of future scholars. The centerpiece of the workshop will be the publication of journal articles by senior scholars on the theoretical and methodological significance of including cognitive and physiological approaches to the study of politics. These articles will be published as perspective pieces in the Politics and Life Sciences at Cambridge University Press. The secondary outcomes will be training scholars in the application of new research technologies and the research projects developed by young scholars, which will also be published in Politics and Life Sciences as a special issue on Politics, Physiology, and Cognition.","Jordan Mansell, Allison Harell","Université du Québec à Montréal, Université du Québec à Montréal"
116,"Population health analytics in action: Improving impact, sustainability & equity of the health care system ( 2016/17-2020/21 )",https://cognit.ca/en/research/project/147860,"Confidence in Canada's health care and public health systems has been eroded by evidence of the country's declining performance across a range of measures of healthcare delivery and population health. Further, given rising healthcare costs, it is increasingly important to identify which resource investments will result in the greatest benefits for the health of Canadians and health delivery systems. The challenge for decision makers is how to use the best available data to estimate the impact of various prevention and healthcare approaches on overall health and economic outcomes. To address this gap, my program will develop new measures of health system functioning and practical tools to inform system planning using large, linked databases of health, social, and cost-related information. These outputs will offer an innovative and meaningful way to examine how well the health system is functioning (e.g., at what cost and for whom?), health inequities among Canadians, health system inefficiencies and priorities for action. To ensure that our findings are relevant and useful, my research program will provide analyses directly to team of senior health and social decision makers who can use the results and tools developed to weigh the costs and benefits of various cross-sectoral strategies. A key the strength lies in working with decision makers from multiple provinces and across various sectors (e.g., health care, public health, social services), which will result in solutions that are integrated across the broader system and at various levels (e.g. regionally, provincially). Ultimately this proposal offers a promising way to effectively improve population health and efficiently use health resources to optimize health system synergy and population impact.",Laura C Rosella,University of Toronto
117,Positioning Canada as an international leader in addiction research and education to improve care and reduce costs to the health care system ( 2015/16-2020/21 ),https://cognit.ca/en/research/project/147623,"In Canada, untreated alcohol and drug addiction contributes to substantial morbidity, mortality and community concerns (e.g., drug crime). Despite the enormous burden of disease attributable to harmful drug use, there remain major challenges in implementing evidence-based prevention and treatment modalities for substance use disorders. This proposal aims to address these urgent concerns by building upon an internationally recognized track record of research involving street-involved youth, people living with HIV/AIDS and people struggling with addiction, which has translated into major health care savings and public health gains for vulnerable populations. Through observational and interventional research investigating novel approaches to substance abuse prevention and treatment for street-involved populations, my research also seeks to continue to serve as a major platform for education and knowledge translation into improved health policies, services and outcomes. The specific objectives of this program are: •To investigate and address health-related harms (e.g., HIV infection) among street-involved youth, and to develop novel strategies to prevent and treat drug addiction among this population; •To develop and test novel strategies for improving HIV prevention and treatment programs for HIV-positive and HIV-negative people who use drugs, with the goal of reducing morbidity, mortality and HIV incidence; •To conduct addiction clinical trials as part of national and international clinical trial networks in order to identify new therapeutic approaches and interventions for substance misuse, as well as scale up the use of proven interventions in various community settings; •To integrate graduate student and clinician research training and fill a research void by training the next generation of scientists in addiction medicine research. (line separator)In addition to well established collaborations with an international network of researchers, educators, service providers, policy makers and advocacy groups, the Program Experts for this proposal include interdisciplinary scientists and knowledge users (e.g., Provincial Medical Health Officer, senior staff in the BC Ministry of Health) who are committed to integrating research, treatment, education and knowledge translation toward improving the lives of populations affected by substance use. As Professor of Medicine at the University of British Columbia, where I hold a Tier 1 Canada Research Chair in Inner City Medicine, I am well positioned to lead this program of research.This research program will continue to build on its track record of excellence in knowledge creation and translation, having already contributed to more than 400 peer-reviewed manuscripts, including publications in top-ranking journals (e.g., JAMA, Lancet, New England Journal of Medicine); presentations to Canadian House of Commons committees; and more than 600 media quotations in high profile lay media (e.g., LA Times, CNN, Globe and Mail). Continuing my commitment to mentorship and career development for more than 100 trainees to date, this program will also seamlessly integrate training for graduate and undergraduate students and clinician researchers in order to fill Canada’s void in addiction research. Ultimately, this program—which scored in the 95th percentile in Phase 1—will reduce health and social costs by improving health policies, systems and outcomes for populations affected by substance use and related harms.",Evan Wood,University of British Columbia
118,Precarious noncitizenship through the life course ( 2017/18-2018/19 ),https://cognit.ca/en/research/project/115372,"Over the last two decades, Canadian immigration policy has shifted dramatically, reducing the share of permanent resident entrants and increasing that of people arriving as temporary residents. At the same time, the proportion of permanent residents with prior experience as temporary residents is increasing. Thus, whether they enter on temporary work visas, student visas, tourist visas, as family dependents or as asylum seekers, many migrants in Canada spend an indeterminate amount of time in a state of immigration status precarity. While some eventually become permanent residents, others churn through temporary and unauthorized statuses. Thus, although envisioned by official policy as short-term, precarious immigration status is increasingly becoming a form of or path to de facto settlement in Canada, with precarious-status migrants living in economic vulnerability with limited access to social services and citizenship rights. As such, immigration status has the potential to become a primary fault line of social stratification in Canada, intersecting significantly with racialization, gender, and age. Available research confirms the long-term negative impacts of living and working with forms of precarious immigration status on access to services (e.g. health, education) and on employment quality and precarity, income, the social determinants of health, housing and other aspects of well-being. However, existing scholarship is limited by a fragmented approach to precarious status that focuses on single entrance categories; a linear approach to legal status trajectories that ignores complex trajectories that may include moves toward greater and decreased legal security; insufficient attention to how institutional contact between citizens and noncitizens in multiple arenas can overlap to shape access and/or barriers to work, health, education, and other services. This Greater Toronto Area-based PDG will address these knowledge gaps and attend to both the Insight and Connections program goals. It proposes a transformative and integrated research and knowledge mobilization strategy to study and understand how precarious noncitizenship is transforming experiences of work, social citizenship and belonging over the life course, and in ways that impact society as a whole. The project will bring together community agency partners, advocacy organizations, persons living with precarious legal status and academic researchers who will use ethnographic methods from a community-based participatory action research (CBPAR) framework. Together, they will design and conduct three case studies of precarious noncitizenship through the life course, focusing on youth, working age women and seniors. This will allow the team to examine and co-produce knowledge about the multiple intersections of age, entrance category, gender, and racialization; legal status trajectories; and patterns of institutional contact across various arenas (the labour market, health, education, services for youth, women and seniors). Our knowledge mobilization goals include training and mentoring for community and academic partnership members that will provide transferable skills and capacities. These include CBPAR experience, cross-sectoral communications and work experience, qualitative interviewing and ethnographic methods, clear language writing, blogging and social media communications, and film development and production. Products of the knowledge mobilization include plain language reports; infographics; a comprehensive website to house project materials; a town hall meeting; and a short fiction film based on research material that showcases the experiences of precarious noncitizens over the life course.","Patricia Landolt, Min Sook Lee, Luin Goldring","University of Toronto, OCAD University, York University"
120,Private participation in infrastructure investment: an analysis of project consortium ( 2017/18-2019/20 ),https://cognit.ca/en/research/project/113464,"Most countries are facing the pressing need to substantially increase investment in infrastructure to meet social and economic needs. According to the OECD (2015b), total required investment in global infrastructure (e.g., transport, electricity generation and transmission, water and waste water, telecommunication) by 2030 will amount to approximately USD 70 trillion, which represents about 3.5% of the world's GDP. Most governments recognize that they cannot meet the financial need for infrastructure investment through tax revenues or aid alone, and that greater participation by private investors in infrastructure sector is necessary. Private participation in infrastructure not only reduces pressure on public finances but also introduces much needed technical and managerial expertise (Conference Board of Canada, 2010). Canadian firms, such as SNC Lavalin, Hatch, ScotiaBank, and Royal Bank of Canada, have in fact been on the frontier of private participation in infrastructure investment in domestic and global markets (Inframation, 2016). The development of an infrastructure project is often led by an investment consortium, also called special investment vehicle (SPV), that consists of domestic and international private investors (also called sponsors). In this study, we will focus on the characteristics and performance of investment consortia. Prior research on private participation in the infrastructure sector has primarily focused on macro-level analysis of aggregate capital flows and financial structure and instruments employed by investing firms to mitigate investment risks (Doh & Ramamurti, 2003; Kleimeier & Versteeg, 2010). However, in-depth analysis of investor, investor consortium or project attributes is lacking. Hence, our understanding of organizational dynamics underlying the development of individual infrastructure investment projects is limited. The proposed research program aims to address this research gap. Specifically, our analysis will explore a consortium's organizational attributes such as inter-sponsor diversity, sponsors' experience, and the distinct roles of corporate and financial sponsors. It will also examine the outcomes of procurement bids among competing consortia. Winning a competitive bid for an infrastructure facility is the first and most crucial step in project development from an investor's point of view. In contrast to the emphasis of extant literature on project financing (Gatti, 2013), our focus on organizational antecedents to project success can yield new insights into how private investors can form effective consortia, manage investment risks, and improve their performance. The PI (Jiang, Carleton University) and the collaborator (Jimenez, KEDGE Business School, France) will be applying a multi-method approach that involves both qualitative and quantitative analyses, with a doctoral research assistant. We plan to first interview 15-20 senior managers from the infrastructure sector in Canada and France. Their insights and our in-depth literature review will guide us in developing a theoretical model with testable hypotheses. We will then test the model using a project-based, large-sample archival dataset. Findings will be shared through presentations at academic conferences and publications in scholarly and practitioner-oriented journals. Our study will be of interest to many Canadian and international firms engaged in this growing sector, as well as policy researchers focusing on this phenomenon. More specifically, the findings will have the potential to inform the formulation of firms' strategies on forming and managing project consortia, and public policies -- particularly from the current federal government - that encourage more inflows of private capital to the sector.",Guoliang Jiang,Carleton University
123,Psychological immersion in the museum: its educational and social benefits in young adults and older adults ( 2016/17-2019/20 ),https://cognit.ca/en/research/project/109930,"Aware of being important institutions of Western society, museums hope to create an intense, enriching and beneficial experience for their visitors. They are nowadays being tempted by immersive environments created by new technologies, for these environments are supposed to create universes into which visitors are physically plunged, physical immersion ensuring psychological immersion, and thus an intense experience. Unfortunately, producing such environments is costly and, for various reasons, visitors seldom enjoy such experiences. However, fascination for an object, likely to occur in any exhibition, may create a moment of psychological immersion corresponding to such keen attention and such strong cognitive, imaginary and affective functioning that the visitor forgets all the rest. Moreover, currents of present-day research suggest major benefits from these processes. They may be seen, for instance, as participating in the intellectual and affective development of the visitor and thus as benefits of a personal-growth type related to the museum's educational role. Moreover, they might consist in an enhancement of positive emotions, a reduction of negative emotions, intellectual fatigue and stress level that are all consequences contributing to an individual's wellbeing. Since these latter benefits have a direct influence on mental health and an indirect effect on physical health, the museum, by encouraging them, would fulfill a significant part of its social role. We organize the present project into two parts. In the first, we investigate what happens during psychological immersion, in other words how cognitive, imaginary and affective functioning operate, and we do so by capturing the interplay of these processes at the very moment that immersion takes place. In the second part, we investigate the benefits of immersion based on a list of elements borrowed from various research projects on personal growth and wellbeing. We study immersion and benefits in a fine arts museum, a history museum, an archaeology museum and a natural sciences museum in order to verify how immersion might be affected by different types of objects. We do this research with two distinct groups: one consisting of young adults at work and aged 30-64 and the other a group of seniors retirees aged 65 and over. The former at present constitute the main public of Canadian museums, whereas the latter, not yet so well known to museums, will soon represent a very large public. The originality of the project comes mainly from the fact of not only showing that immersion is possible without the intervention of costly devices, but also to that of identifying its content and benefits. Museum education as a field of study, museums, and the population as a whole will profit from this research. It will provide museum education with the identification of the components of one of its main concepts and with a new investigation instrument. Museums will receive the information they need for the development of exhibitions that favour immersion and so become particularly interesting to visitors. They will thus be able to demonstrate to the State and to their donors the importance of their educational and social roles and obtain their increased support. Moreover, they will obtain data concerning older adults, one of their major future publics. Finally, at least a third of the Canadian population will profit from immersion, for that is the proportion that now frequents museums in many provinces, including Quebec.","Colette Dufresne-Tassé, Anne-Marie Émond, None None","University of Montreal, University of Montreal, University of Montreal"
124,"Qualitatives 2019 -- The Transdisciplinary Efficacy of Qualitative Methods: Studying Everyday Life, the Empirical Tradition Continues ( 2018/19 )",https://cognit.ca/en/research/project/184159,"For over three decades, qualitative researchers at universities across Canada have organized the Qualitative Analysis Conference, affectionately known as the Qualitatives. The University of New Brunswick, Fredericton will host the 36th iteration of the conference at the Crown Plaza Lord Beaverbrook Hotel (May 9-11, 2019). Our organizing committee includes undergraduate and graduate students, junior and senior faculty members, and UNB's VP Indigenous Engagement; reflecting the conference's ongoing commitment to mentorship and inclusion of scholars at all levels of the academic spectrum. Qualitatives 2019 offers delegates the opportunity to explore new developments in the ways we use qualitative methods to investigate the social world. The theme for this year's conference, 'The Transdisciplinary Efficacy of Qualitative Methods: Studying Everyday Life, the Empirical Tradition Continues,' highlights the utility of qualitative methodology across disciplines and honours the Qualitatives' emphasis on fieldwork. Two sub-themes include a focus on health, illness, and medicine; chosen for its public policy relevance and a celebration of the 50th Anniversary of the publication of Blumer's (1969) Symbolic Interaction: Perspective and Method, paying homage to the foundational ideas that gave rise to the Qualitatives. Our Key Note Speaker is Dr Joanna Kempner, recipient of the 2016 Eliot Freidson Outstanding Publication Award from the American Sociological Association's Medical Sociology Section. Our Featured Speaker is Dr Joseph Kotarba, winner of the 2014 Charles Horton Cooley Award for Best Book from the Society for the Study of Symbolic Interaction. The conference's international reputation has attracted an impressive range of submissions. To date we have received abstracts from 168 presenters from 11 countries, representing 31 disciplines; including senior and junior faculty, post-doctoral fellows, graduate and undergraduate student presenters, as well as practitioners and government researchers. We are very pleased that a number of abstracts focus on Indigenous peoples. The mix of presenters creates unique networking opportunities for establishing collaborations and developing research partnerships across disciplines and institutions, as well as between academic and non-academic sectors as diverse as the Toronto School Board and the Department of Defense. The conference sessions, time between sessions, and special events are organized to ensure fruitful knowledge exchange. Students are a valued presence at the Qualitatives. Unlike many other conferences where student status is indicated on name tags and students are grouped into special sessions, the practice of this conference has always been to feature student presenters alongside faculty and to assign students to act as session chairs. This year roughly 50% of the presenters are graduate and undergraduate students, a reflection of the conference's focus on mentoring and professional socialization. The Student/Faculty Networking Lunch brings students together with experienced researchers who share career advice and their expertise in conducting qualitative research. Among the activities planned for Qualitatives 2019 are a qualitative methods workshop and the Instant Ethnography event, a mentoring and learning activity where students are matched with an experienced ethnographer to engage in an ethnographic exercise and talk about their experiences in a session on the last day. We will publish the proceedings from the conference and post videos of the key note and featured speaker presentations on The Qualitatives website. We have also secured a commitment from the international journal Symbolic Interaction to edit a special issue based on papers from the conference.","Jacqueline Low, Deana E Simonetto, Gary L Bowden, Jeffrey D van den Scott, Lisa-Jo K van den Scott","University of New Brunswick, Wilfrid Laurier University, University of New Brunswick, Memorial University of Newfoundland, Memorial University of Newfoundland"
125,Quarks in cosmos and heavy ion collisions ( 2019/20 ),https://cognit.ca/en/research/project/203168,"There are fundamental links between cosmology and particle physics, which have been well established at all scales. In particular, the physics of the early Universe, baryogenesis, cosmological nucleosynthesis are based on our modern understanding of particle physics. The goal of the project is the study of QCD in the unusual environment when temperature T, chemical potential and the so-called theta parameter are non-zero. It is generally accepted that the theta parameter was not zero during the QCD epoch in early Universe. It is assumed that the theta parameter relaxes to zero as a result of the dynamics of the axion field, which was postulated 40 years ago to resolve the so-called strong CP problem. The main objective of the proposal is to study a variety of different physics effects related to the dynamics of the axion field during the QCD transition. There are few themes in the project which are inherently related:***1. The analysis in a simplified version of QCD, the so-called ``deformed QCD"" which however preserves all the relevant elements of strongly coupled QCD such as confinement, degeneracy of topological sectors, nontrivial theta dependence, and many other important aspects which allow us to test some fascinating features of strongly interacting QCD. ***2. Application of these fundamentally new ideas to heavy ion collisions, astrophysics and cosmology. In particular, I am closely collaborating with senior astrophysics people and particle physics experimentalists to test a proposal that the dark matter problem and baryogenesis problem are inherently linked to each other and should be solved simultaneously as the observed dark matter density and the observed baryon density are very similar in magnitudes. If these components are originated from different physics they must be drastically different, in contrast with present observations. The key element in this proposal is the presence of non-vanishing CP-odd parameter theta which generates the observed asymmetry between matter and antimatter in the Universe as a result of the so-called charge separation effect. This proposal gives very specific and unique predictions which can be tested by a number of existing and upgraded instruments such as upgraded CAST (CERN Axion Search Telescope). ***3.The third part of my project is based on the observation that very subtle elements of the theoretical construction from item 1 could be tested in a table top experiment. The measuring of the so-called Topological Casimir Effect (TCE) may shed some light on the nature of the so-called vacuum energy. Similar table top experiment could be designed to be sensitive to the theta parameter itself in the Maxwell Theory. The suggested idea on measuring of the TCE is very different from all previous proposals which are sensitive to the derivatives of theta, but not to theta parameter itself. ***",Ariel Zhitnitsky,University of British Columbia
126,Re-Sounding Difference: Creating Accessible Music Theatre for Children with Exceptionalities and Senior Citizens ( 2018/19 ),https://cognit.ca/en/research/project/183551,"While the personal and societal benefits of participating in music are well documented, access to these opportunities remains inequitable, thus limiting the stories, ideas, bodies, and voices that inform our cultural products, and depriving our most vulnerable citizens of the opportunity to engage in activities that could improve their well-being and quality of life. This research project innovates universal design principles and inclusive strategies for music theatre development with children with exceptionalities and senior citizens, so that all people, despite their age or ability, might participate in music theatre. This proposed research study aims to provide solutions to the lack of access to music theatre, and a lack of understanding of how music theatre participation can support the well-being of children with exceptionalities and senior citizens. These two populations cross gender, sexual orientation, ethnic and socio-economic and (dis)ability groups, and together comprise a significant portion of Canada's population (Statistics Canada, 2012; 2017). While the use of music in social and/or community interventions is well documented, these activities are often limited to individual music making (comprising most work that traditional music therapists do) or participation in ensembles such as the string or choral programs that Sistema programs are built around. Few studies with these populations have incorporated music theatre, though its flexible and multi-modal nature (any combination of music and theatre) offers many varied and rich creative opportunities. More significantly, research and practice in music theatre has not begun to explore what truly accessible performance and production models might look like. Thus this research is poised to make a striking contribution to both the scholarly literature and to professional practice. A two-year multiple-case study methodology will be employed to examine the music theatre creation process and product with children with exceptionalities and senior citizens along with changes in their well-being. We will video record rehearsals and performances to examine the ways that the creation of music theatre with these populations challenges and broadens the genre. By experimenting with activities and approaches that challenge the dichotomy of dis/ableism, and by responding throughout the process to the needs of our participants, our research-creation approach will propose accessible music theatre strategies that embrace diversity in its myriad forms. We will also collect data from individuals (children and seniors) to examine the extent to which participation supports their well-being. We will use PERMA well-being (Seligman, 2011) as a theoretical framework to examine how participation in these activities supported participants' well being through the generation of positive emotions, engagement, relationships, meaning, and accomplishment (PERMA). We will employ age and ability appropriate data collection tools (e.g., photos, game-based tools) to ensure inclusive participation in the data collection, and we will use the same data collection techniques and instruments for each of the case studies. Common data collection procedures will allow for a cross-case examination to elucidate commonalities between the two populations thus articulating universal/inclusive design principles for music theatre participation. Most significantly, this research will disrupt the conservative aesthetics of the genre of music theatre, and will use music theatre to unsettle engrained ideas about the differently abled in our society.","Julia E Brook, Colleen L Renihan","Queen's University, Queen's University"
128,Regulation of vascular responsiveness to changes in metabolic demand ( 2016/17-2019/20 ),https://cognit.ca/en/research/project/16275,"Objectives of my research program The overall goal of my research program is to better understand how oxygen (O2) is transported and optimally distributed to the active tissues (skeletal muscles) to meet changes in O2 demand (i.e., moving from rest to higher intensities of exercise). My scientific approach I use exercise interventions to determine how effectively the vessels transporting O2 respond. Additionally, I study how aging and fitness status affect this transport of O2. For example, it is known that aging has negative effects on the O2 transport system (less responsive vessels). However, research has shown that highly trained people (even seniors) do not show a pronounced deterioration. Thus, I am interested in understanding whether the processes that affect these diminished responses are related to aging per se or to the lack of exercise that compromises the function of the vessels. My experimental approach includes non-invasive and minimally invasive studies using a human model. In this model, I use a number of non-invasive methodologies to examine O2 transport (blood flow) to the active muscles and vascular responsiveness (how the vessels react to distribute O2 to certain areas). By using innovative techniques that include measures of O2 consumption and O2 extraction in the muscles, as well as O2 delivery to the muscles, I obtain important information on how O2 is sent to the active parts of the body and how this response is affected by aging and fitness level, so that the processes that affect O2 delivery to the active tissues can be better understood. Additionally, the use of more invasive methodologies (i.e., muscle biopsies) allows me to examine changes at the cellular, molecular, and morphological level that have an impact on vascular control and O2 provision and distribution. Why is this important? My work provides new information (using novel methodologies and data analysis approaches) that can help us better understand how O2 is delivered to the tissues that need it, and what processes are involved in this adjustment. Combining the use of aging and fitness status models is important as these two factors are known to affect how the vessels respond and thus, they can provide us with more ways of learning about the factors that determine how the vessels make adjustments to deliver O2 to the right places. Increasing our knowledge in this area is very important to be able to provide adequate information on how the vessels function.",Juan Murias,University of Calgary
129,Relative contributions of adult daughters and sons to elderly parents' care in India ( 2017/18-2018/19 ),https://cognit.ca/en/research/project/112493,"Motivated by the limited attention in scholarly and policy on (married) daughters' contributions to their parents, and the link between the lack of publicly financed old-age support and skewed sex ratios, the proposed two year study will analyse intergenerational patterns of support for elderly parents in daughter-only families in India. In the absence of universal social welfare and pension, the expectation of old age support is one of the main factors driving strong son preference, daughter aversion and the resulting daughter elimination in India. In a patri-/virilocal context such as in India where daughters move to their husbands' place post-marriage, married sons (and their wives) are seen as responsible for the care of their elderly parents. Yet there is limited evidence on whether it is indeed the case that daughters do not contribute financially or otherwise to their natal families. The discourse that (married) daughters will not care for their parents, hence the need for a son is best examined by focusing on daughter only families. The focus on support for elderly parents in daughter only families is thus original. Theoretically the proposed research will be located within an interdisciplinary framework as people's lives as well as the reproduction of families are embedded within political, socio-economic, spatial and cultural contexts. Specifically the study lies at the intersection of gender and generation. While the current (limited) research in India focuses on elderly care in isolation, the proposed study brings together gender and intergenerational dynamics, as elderly care cannot be studied in isolation, it has to be examined in conjunction with the value of and expectations from children.The study will focus on the North-western Indian state of Haryana and the South Indian state of Kerala which offer contrasting socio-cultural contexts especially with regard to women's status, son preference and daughter deficit. It will be conducted by a multidisciplinary research team. While the focus will be on daughter only families, we will compare daughter only families with son only families and families with both sons and daughters. Primary data collection will include ethnographic interviews and a household survey with the three categories of families across rural and urban areas in each of the two states. We will exploit existing secondary data sources (For example, Census and National Family Health Surveys), analyse policies and programs for the elderly, as well as the Maintenance and Welfare of Parents and Senior Citizens Act, 2007. Folklore, media representations on the relative worth of sons and daughters, social norms and government policies that facilitate or hinder daughters' ties and contributions to their natal families will also be examined.The proposed study will be the first of its kind to systematically examine care arrangements in daughter only families in India. It will generate insights not only on the empirical context of elderly care in daughter only families but also on the analytical and methodological aspects of scaling up research on the interactions between valuing children and elderly care in India, China and other developing countries where family is an important institution of caring for the elderly. Additionally, like the efforts to bring visibility to women's work in general and to fundamentally challenge the definition of what constitutes work, research is necessary to bring visibility to daughters' roles and contributions, and to change discourses about daughters. The proposed research will generate knowledge that can aid in formulating strategies to strengthen girls' rights and daughter preference. It will also bring visibility to daughters' contributions to their natal families.","Sharada Srinivasan, Arjun Bedi, Arjun Bedi","University of Guelph, Erasmus University Rotterdam, Erasmus University"
131,Reorganizing the Approach to Diabetes through the Application of Registries (RADAR) ( 2015/16-2019/20 ),https://cognit.ca/en/research/project/147494,"First Nation (FN) seniors are high risk for diabetes morbidity/mortality and this is compounded by suboptimal care in isolated FN communities. Limited community nursing capacity and a lack of electronic registries/records leads to a reactive, disorganized approach to care. This situation is directly responsible for the poor diabetes related outcomes observed in FN seniors. Health Canada's 2010-2015 Aboriginal Diabetes Initiative calls for innovative, culturally relevant approaches aimed at increasing community wellness and reducing the burden of diabetes through the use of local knowledge. The Canadian Diabetes Association specifically mentions the importance of using systems to identify diabetics and have a systematic follow-up process. The RADAR study fits exactly with these priorities by using health technology information systems and a centralized care coordinator to strengthen FN community capacity. RADAR will establish system-wide, scalable infrastructure (an integrated diabetes registry/records system) that will support front-line community nurses in transforming care for FN seniors with diabetes. The proposed model has two major components to improve the care of FN senior diabetics: 1) Implementation of a common diabetes registry and health records system (eHIPP technology); 2) Care coordinator to support front-line providers for measurement, monitoring and streamlined, coordinated referral and follow-up with use of the technology. We hypothesize that the RADAR model will result in an overall improvement in the quality of clinical care of FN seniors living with diabetes on reserve. We also hypothesize that the RADAR model will be effective, efficient and transferable at the organizational level within these communities and will have a broader public health impact on the population of those with diabetes. Importantly, all outcomes will be assessed from the lens of the FN communities to ensure model is culturally appropriate from their perspective.","Dean Eurich, Jeffrey A Johnson, Sumit R Majumdar","University of Alberta, University of Alberta, University of Alberta"
132,Reparative Frames: Visual Culture After Reconciliation ( 2018/19 ),https://cognit.ca/en/research/project/184173,"Reparative Frames: Visual Culture after Reconciliation will mark the first public academic gathering to explore the timely and important question of visual culture in and as a practice of reparation. This interdisciplinary and cross-cultural outreach event will bring together senior academics and emerging scholars, as well as artists and curators, in a dynamic format that responds to debates about reconciliation and redress that emerged during Canada's sesquicentennial year, and that connects these issues to international discussions about the unfinished histories of settler colonialism, transatlantic slavery, and forced migration. At the core of this outreach activity is the concept of reparation. We define reparation broadly as both an equitable approach to teaching, representing and learning from difficult histories and an attempt at repairing relations between subjects. Reparation has been adopted as a key conceptual model by many Indigenous groups and cultural commentators internationally, who are motivated, in part, by the sense that the promises of state-sponsored national reconciliation projects of the last three decades have gone unfulfilled. Reparation offers an alternative model through which to articulate and redress asymmetrical relationships of power between subjects and the state. Visual culture---from artworks and exhibitions, to media images and films---has become a key site for critique and for generating encounters that explore the notion of ""repair"" beyond the bounds of the nation-state. Artists, curators, designers, and activists, as well as scholars across a number of intersecting disciplines in the Humanities, Social Sciences, and Fine Arts, mobilize the power of images to shift the responsibility of return and repair away from Indigenous and marginalized communities and onto the reader and viewer. Reparative visual culture, therefore, initiates a call to action that implicates all actors in a system of asymmetrical power relations. Taking a global focus on reparation and visual culture, Reparative Frames addresses four specific objectives: 1. To convene scholars from a range of disciplines and geographic locations to interrogate the meanings of visual culture in and as a process of reparation; 2. To contribute to a broader public debate about reconciliation, sovereignty, and decolonization with the potential to inform government and museum policy formation; 3. To mentor and train students and emerging scholars, facilitating inter-generational dialogue and producing new pedagogical approaches; and 4. To initiate an ongoing collaboration between students, faculty, and practitioners across institutions.. In its very design, Reparative Frames aims to generate meaningful dialogue and mentorship. The outreach event will comprise a one-track, two-day conference with thematic panels of papers by leading national and international scholars as well as the active participation of graduate students and emerging scholars (again, both Canadian and international). Committed to sharing these discussions with broader publics, we are also organizing a keynote roundtable discussion, open to the public. Finally, peer-reviewed triannual international publication, the Journal of Visual Culture, plans to publish a special issue based on the event.","Gabrielle A Moser, Carol Payne","OCAD University, Carleton University"
